"Attention","Meditation","Delta","Theta","lowAlpha","highAlpha","lowBeta","highBeta","lowGamma","highGamma"
16,41,713518,910044,113481,42469,33757,30329,30277,20716
4,40,794800,231410,29838,4999,11204,11839,8941,9202
1,34,277717,165771,49465,9808,15786,13128,12177,8680
3,27,20326,16761,866,382,2653,1960,549,1594
24,37,1245968,69756,21302,73224,126641,40510,16256,18321
35,40,1032365,203017,35191,18974,16068,30454,16974,17706
34,38,334250,78730,23510,2273,18591,5194,10954,8891
27,34,58289,18992,105,624,986,1294,1286,1542
29,35,127761,7195,2832,3246,1658,3427,1215,1094
27,43,43456,15590,1423,7038,415,2039,2134,2277
41,44,136924,13717,4319,1015,2124,3608,2467,2185
38,56,26494,17686,1698,568,1496,972,574,1010
24,50,310976,67670,11488,9919,8077,6548,7596,5422
21,38,37938,29509,4302,1532,2388,1925,1232,2644
3,37,130067,88991,8480,10038,2763,3381,4866,2752
3,44,86296,21755,1929,5552,2024,1569,2130,940
7,51,79301,38977,19312,3221,3257,7397,3422,4297
16,51,47473,9914,881,1097,1096,1806,1007,1996
34,60,97556,7854,5172,1375,2509,2513,1080,2754
48,54,23100,18157,2642,1944,3325,4656,2109,1026
44,41,167868,83448,9848,1726,3625,7539,5578,5550
38,51,68445,36322,7527,9074,3974,3912,1785,2273
38,41,55934,21135,796,5044,3533,4993,2654,3879
41,38,142821,15313,1691,1278,5671,5416,3692,1581
54,43,5834,14112,2290,3133,4835,6059,2943,1806
53,50,21432,29661,22215,11025,6568,4181,4795,1761
38,53,1440233,89664,17368,7969,7100,5386,9589,4299
27,63,868182,188204,48645,40716,40300,28635,51035,19434
8,69,1630109,274902,84179,76520,53219,20000,11873,29249
16,66,424415,20020,8090,10797,4948,6470,4371,11729
38,75,514812,5132,5779,8451,11813,7607,5248,2703
37,81,87167,7391,2337,4684,1304,1109,1506,532
41,77,363751,60390,13211,6341,3902,5809,4439,1471
44,80,1290,7662,1888,9993,1305,4588,3073,2111
26,80,220753,199223,113345,19520,40585,21672,9338,10574
38,74,806770,319493,74352,117312,48296,107323,97266,41413
44,75,19229,21793,7369,2857,2692,4841,3083,2925
35,67,73546,61933,12391,16354,1808,8542,2496,2810
37,57,502892,474522,95107,26139,106040,42477,49706,62390
38,57,906522,317252,161975,53038,86909,134298,58494,18427
43,64,55329,2889,1263,2344,1956,1427,763,1058
40,78,152381,13278,29862,3130,3247,3500,3099,2507
48,67,140444,48530,1544,2902,8342,7223,9842,5977
30,56,130885,82158,5517,4392,6733,4472,4993,3970
40,44,351882,6600,2151,966,3885,5413,2191,2706
53,26,118797,15078,3507,5048,9727,6251,8586,3746
56,35,1283296,85811,3268,16801,10891,21503,10164,14951
64,47,90727,9874,3723,1609,3451,1576,1257,844
48,51,257171,29825,5666,5779,5554,4156,9064,9106
41,47,142628,140894,15313,20258,34044,24937,28991,16046
23,41,106509,153878,9322,5373,10554,6020,14592,3478
30,43,1399041,61373,33464,11302,13482,24362,19985,8599
35,41,1018729,48219,10810,6007,11786,9419,5343,6650
27,40,317405,60075,8120,3438,3110,5162,3391,1735
30,44,413802,62829,3015,8180,7589,3900,1948,3215
26,44,127088,36826,15679,7473,8498,9092,4012,1450
35,44,27084,12010,3951,3605,8857,6414,3462,4281
24,43,64974,43145,3085,2773,2164,1255,1265,1007
24,50,68308,21903,3905,2822,1397,1452,2086,978
14,53,383360,25049,1523,15563,3055,2373,1525,1833
8,57,725467,21958,10724,7369,9468,6209,6181,1546
26,69,1106954,70286,32738,5177,9022,18418,4853,12443
24,69,97855,30234,7245,3161,3195,1700,2440,3380
20,57,118753,56321,5094,3988,1567,3322,1353,1251
13,69,810474,92093,133925,87550,32338,27622,22981,37828
16,74,328407,52969,12848,13847,5534,4790,4522,11493
38,84,893073,41086,52161,7671,33468,19277,11763,16187
56,74,758,4025,2674,952,2413,3759,1619,1060
70,77,10303,3034,3884,2388,4449,3232,6317,1485
56,80,926655,172219,102088,17688,9291,15279,7531,6138
50,66,242079,26678,1626,3813,2829,3104,1207,1612
26,81,920625,57098,110386,29449,4542,10591,9470,13645
14,77,2082246,652220,216576,67244,69146,90884,47031,53709
7,54,1556771,346817,7134,16688,17860,8065,10763,6435
1,70,1903328,295015,281448,16257,9080,31539,21668,32148
7,48,487914,98964,11257,10897,7690,11445,6466,7339
3,34,95257,31589,1287,1697,4596,2135,1353,1516
20,40,103449,67332,4245,6024,11344,10837,7707,6449
3,14,279296,359357,34487,12982,12136,10961,5446,5192
4,26,245802,24773,5121,2434,3441,2192,1139,2477
1,38,1822766,285344,49451,85300,32218,31795,14372,50865
17,43,1593899,87572,10349,8878,13127,26169,8251,10016
37,63,12558,8467,8356,7667,2422,3670,2620,3992
41,67,226671,13384,6339,3469,8575,2721,1054,953
51,64,413274,5708,1674,1346,858,1849,1472,1347
29,67,280850,191925,21131,18881,4393,6577,6638,8830
20,69,855379,74856,26303,93478,11964,11124,20107,34385
20,77,564592,76571,34080,49362,19472,17575,9176,28746
4,57,703779,1253580,26883,44045,24053,64900,156975,46871
17,66,206545,10811,4597,1507,775,2012,916,1879
21,40,167323,94333,1589,7322,10800,7882,4728,6015
24,30,1466629,122784,55457,7777,41542,27161,18513,28182
37,48,45223,34245,2516,10000,4240,6976,2476,7556
40,38,28547,4436,206,796,1059,922,831,920
50,54,86918,8430,4914,1638,2580,3212,2926,1792
44,53,1043271,435984,128547,15128,26395,50437,28852,38351
43,60,2252157,280927,158415,94980,101132,65099,38114,13136
38,51,1192788,417539,2594,33054,41031,49815,28994,18573
34,51,1473737,385893,133349,89417,37353,85821,56811,45116
38,50,64255,30721,2514,6745,3265,5369,3123,2784
34,38,896525,181967,2709,30253,13027,16159,7774,4980
29,48,209829,20338,2549,1654,2599,1695,597,1037
30,43,82104,33754,1593,10908,3416,8136,2023,1694
29,40,96255,8817,1115,795,973,1064,720,1060
27,38,159938,15754,976,1736,722,1314,1157,2240
44,26,2904,23874,998,838,3820,9266,3932,7287
