"Attention","Meditation","Delta","Theta","lowAlpha","highAlpha","lowBeta","highBeta","lowGamma","highGamma"
16,41,713518,910044,113481,42469,33757,30329,30277,20716
4,40,794800,231410,29838,4999,11204,11839,8941,9202
1,34,277717,165771,49465,9808,15786,13128,12177,8680
3,27,20326,16761,866,382,2653,1960,549,1594
24,37,1245968,69756,21302,73224,126641,40510,16256,18321
35,40,1032365,203017,35191,18974,16068,30454,16974,17706
34,38,334250,78730,23510,2273,18591,5194,10954,8891
27,34,58289,18992,105,624,986,1294,1286,1542
29,35,127761,7195,2832,3246,1658,3427,1215,1094
27,43,43456,15590,1423,7038,415,2039,2134,2277
41,44,136924,13717,4319,1015,2124,3608,2467,2185
38,56,26494,17686,1698,568,1496,972,574,1010
24,50,310976,67670,11488,9919,8077,6548,7596,5422
21,38,37938,29509,4302,1532,2388,1925,1232,2644
3,37,130067,88991,8480,10038,2763,3381,4866,2752
3,44,86296,21755,1929,5552,2024,1569,2130,940
7,51,79301,38977,19312,3221,3257,7397,3422,4297
16,51,47473,9914,881,1097,1096,1806,1007,1996
34,60,97556,7854,5172,1375,2509,2513,1080,2754
48,54,23100,18157,2642,1944,3325,4656,2109,1026
44,41,167868,83448,9848,1726,3625,7539,5578,5550
38,51,68445,36322,7527,9074,3974,3912,1785,2273
38,41,55934,21135,796,5044,3533,4993,2654,3879
41,38,142821,15313,1691,1278,5671,5416,3692,1581
54,43,5834,14112,2290,3133,4835,6059,2943,1806
53,50,21432,29661,22215,11025,6568,4181,4795,1761
38,53,1440233,89664,17368,7969,7100,5386,9589,4299
27,63,868182,188204,48645,40716,40300,28635,51035,19434
8,69,1630109,274902,84179,76520,53219,20000,11873,29249
16,66,424415,20020,8090,10797,4948,6470,4371,11729
38,75,514812,5132,5779,8451,11813,7607,5248,2703
37,81,87167,7391,2337,4684,1304,1109,1506,532
41,77,363751,60390,13211,6341,3902,5809,4439,1471
44,80,1290,7662,1888,9993,1305,4588,3073,2111
26,80,220753,199223,113345,19520,40585,21672,9338,10574
38,74,806770,319493,74352,117312,48296,107323,97266,41413
44,75,19229,21793,7369,2857,2692,4841,3083,2925
35,67,73546,61933,12391,16354,1808,8542,2496,2810
37,57,502892,474522,95107,26139,106040,42477,49706,62390
38,57,906522,317252,161975,53038,86909,134298,58494,18427
43,64,55329,2889,1263,2344,1956,1427,763,1058
