"Attention","Meditation","Delta","Theta","lowAlpha","highAlpha","lowBeta","highBeta","lowGamma","highGamma"
20,40,103449,67332,4245,6024,11344,10837,7707,6449
3,14,279296,359357,34487,12982,12136,10961,5446,5192
4,26,245802,24773,5121,2434,3441,2192,1139,2477
1,38,1822766,285344,49451,85300,32218,31795,14372,50865
17,43,1593899,87572,10349,8878,13127,26169,8251,10016
37,63,12558,8467,8356,7667,2422,3670,2620,3992
41,67,226671,13384,6339,3469,8575,2721,1054,953
51,64,413274,5708,1674,1346,858,1849,1472,1347
16,69,1975072,57424,31374,5758,14751,10059,17418,6947
23,57,291695,43292,9416,3234,3029,8596,4839,1821
41,57,210755,16336,12119,7661,14988,9366,3135,2450
48,63,116245,35912,12752,1444,1821,3598,6368,2731
37,57,3311288,846840,157055,90784,58620,40462,81564,37638
14,56,846583,432836,56255,27220,43717,8338,13602,7645
1,48,1138622,239129,42995,13367,7847,9493,10368,8745
29,67,280850,191925,21131,18881,4393,6577,6638,8830
20,69,855379,74856,26303,93478,11964,11124,20107,34385
20,77,564592,76571,34080,49362,19472,17575,9176,28746
1,61,824825,135130,215469,53729,44537,17221,9867,12178
1,54,597996,114954,7334,8939,4911,5743,4764,2748
1,63,2015907,1011822,344225,187256,104696,82281,73322,61137
4,57,703779,1253580,26883,44045,24053,64900,156975,46871
17,66,206545,10811,4597,1507,775,2012,916,1879
21,40,167323,94333,1589,7322,10800,7882,4728,6015
24,30,1466629,122784,55457,7777,41542,27161,18513,28182
37,48,45223,34245,2516,10000,4240,6976,2476,7556
40,38,28547,4436,206,796,1059,922,831,920
50,54,86918,8430,4914,1638,2580,3212,2926,1792
44,53,1043271,435984,128547,15128,26395,50437,28852,38351
43,60,2252157,280927,158415,94980,101132,65099,38114,13136
38,51,1192788,417539,2594,33054,41031,49815,28994,18573
34,51,1473737,385893,133349,89417,37353,85821,56811,45116
38,50,64255,30721,2514,6745,3265,5369,3123,2784
