"Attention","Meditation","Delta","Theta","lowAlpha","highAlpha","lowBeta","highBeta","lowGamma","highGamma"
44,67,13017,13885,2561,3100,1558,3249,2284,3095
44,66,2007,8739,2972,5898,5398,2640,1977,3288
56,74,2122,1355,4955,746,2466,6426,2454,2134
66,69,977,3869,611,5763,2664,3933,2445,1130
74,74,2812,6577,1987,3233,3658,3973,5845,2303
84,75,3831,1617,3740,816,2526,3227,1438,2076
70,77,16658,3947,2899,898,440,1583,3863,1484
66,75,9451,9720,7361,885,2090,3863,1974,1463
56,69,16690,17137,3306,2340,3927,2945,5664,2955
48,67,31654,15427,7263,3036,1774,4456,2498,1840
51,63,2147,2488,4252,1256,8805,2430,1727,2114
47,54,109682,8268,1947,1052,1262,1307,642,603
63,60,5903,1924,2676,1615,3139,5518,2271,2222
69,50,278,8369,1119,2149,2050,4772,2321,2720
60,53,16854,20659,13828,2480,5007,3392,1139,2952
61,67,19868,10866,12675,7241,2497,5004,1950,3525
61,67,1700,1902,509,4301,2542,6578,3080,1298
74,75,1392,652,1685,487,1265,3990,1804,2005
87,77,1450,1355,3711,593,3055,2366,1402,1373
100,60,31952,1791,1135,1404,2293,4455,3333,5070
96,64,512,4859,6899,1512,2750,5960,4900,2624
81,77,47124,9602,17612,5679,3135,9459,1548,3968
74,64,67127,32099,4984,5503,3218,6107,3371,6185
57,57,46936,15799,1570,1790,6638,3723,3516,2231
57,53,333,6107,2739,4445,6031,5236,4946,6117
69,35,5387,976,1130,751,2906,3508,2747,3646
69,35,54804,13373,2257,1615,2167,1947,4948,4194
77,50,31319,3298,5804,2257,7277,5376,1830,1287
74,44,6014,16393,2682,4342,2713,5842,4163,4050
61,51,4294,1879,1899,1038,2516,1765,1804,2316
74,51,9763,9699,966,3092,2627,5422,3519,4647
69,50,2093,3836,1454,2483,2852,2610,1864,1847
81,48,437,3180,340,2572,2535,6393,2878,4645
84,56,1140,3569,8113,4510,975,7894,2480,1440
97,50,1656,3907,1054,863,2164,9224,4274,1296
100,51,701,4949,4943,2446,2166,8866,2904,1028
97,63,2889,3048,1526,6076,1137,5806,2117,3238
87,81,655,1962,3859,1605,3387,2335,3711,1240
83,81,1310,2807,2123,2121,2629,3821,2264,3624
77,80,26540,4457,1994,6286,5724,2857,3592,1834
87,66,528,2289,3323,926,3353,12035,2413,2156
94,53,930,3555,892,1923,3298,6349,1507,1469
87,56,1831,3320,3492,383,1943,1488,4439,2923
100,40,1217,1556,464,1485,3807,6167,3037,5242
90,43,3231,8557,3367,2222,1837,5752,5750,3320
77,54,16619,7721,4630,1955,685,3274,3105,1119
74,50,624693,21102,6643,5150,3133,4916,4034,2682
64,56,1510,2941,518,3219,4071,4989,2416,6035
61,54,34961,12827,4380,2079,3100,5448,4833,5752
43,53,79819,21436,9073,2571,2798,1124,1819,1491
