"Attention","Meditation","Delta","Theta","lowAlpha","highAlpha","lowBeta","highBeta","lowGamma","highGamma"
50,35,109438,108876,11047,3277,3005,6599,4505,4526
40,37,934738,16868,1120,4045,2865,2211,2410,2061
43,30,24710,12318,4252,2032,2466,4174,3450,4612
47,24,5253,4996,1801,514,6923,4796,3021,1876
51,38,51211,8335,1788,1889,1568,1101,2203,1352
51,41,2306085,217279,60880,42811,15389,33551,12226,14821
64,27,4492,2826,777,542,4393,6788,2707,3404
53,37,253507,41087,5912,9850,6405,6555,10148,6566
51,43,360591,38613,18832,15918,5058,6058,3535,4092
54,51,467861,55181,60059,7651,18199,22721,6634,10938
48,67,2679,2216,4081,3730,11386,5768,3932,6775
67,64,3393,2304,1792,969,824,9993,2578,2753
87,56,1307,2176,3258,1764,4109,7276,5299,3750
88,53,16940,15394,6937,5519,950,6023,3654,3995
77,34,2282477,151888,8244,3888,9423,19195,22122,26012
61,40,16143,18283,8347,3790,1572,8499,2597,2939
47,37,910689,44911,4290,10620,8203,7058,6168,2935
38,30,31128,44374,3604,15086,6386,4510,7374,1576
44,63,19688,3525,6228,4478,2613,3950,3360,7341
43,69,2664,7379,4435,5238,1911,3611,3178,1504
51,69,1019,12193,4686,1076,3170,6231,2468,2644
61,69,1394,4558,824,2468,2114,2519,3181,2156
63,57,3049,6484,2914,2476,2508,4407,2543,3028
75,41,8828,6068,373,3068,6104,9280,4090,2300
74,48,17140,8447,2300,5874,5257,4640,2070,4112
78,60,17531,2960,14119,5460,1959,12655,3481,5840
74,67,14485,5559,7077,6634,6391,3644,2950,1978
64,51,2639,1356,3680,1498,3055,2699,2767,1515
60,67,4355,1946,6138,2526,1917,2857,1849,1563
63,64,2313,4358,679,2286,7728,2340,4405,2044
80,56,109757,3151,505,994,2052,6349,2108,2795
87,40,4655,3521,716,1890,5738,5314,3041,1821
87,27,93536,8942,6695,1776,6094,4324,7157,1493
91,43,4678,3097,1397,5668,2461,5536,2311,2853
77,66,2501,3088,8706,2655,4144,4039,1997,2425
80,64,2992,1109,427,1050,5388,3284,1863,3445
